"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ARM",2020,18.54296916338759227,7548.354095797334608
"ATG",2020,15.23599393617404401,5485.297959999971102
"AUS",2020,2356516.287662358682320543,587010120.0220395949013941
"AUT",2020,25936.515066404382644599,14765711.632656501714544
"AZE",2020,22.77496149437283000,7277.184002897240411
"BDI",2020,1856.85177459056348987,1096363.716636964706335
"BEL",2020,5408.631203496724758035,3115871.9318652406030215
"BEN",2020,1605.56142073011737644,812185.995233707761961
"BES",2020,9.69795470649197054,3478.664721680844585
"BFA",2020,0.0,7392.245647389218512
"BGD",2020,21475.16881457307322282,11764254.159749389127318
"BGR",2020,4795.099952593899763596,2294194.0718817577360503
"BHS",2020,2696.17849708248279181,1072482.109672089730096
"BIH",2020,1842.071174848183780325,946223.163664656867666
"BLR",2020,68932.124993656353970913,27646872.439861272205254
"BLZ",2020,26511.78448696961953803,13811765.991178858539649
"BOL",2020,429780.29848051017406561,208210733.9096491572708855
"BRA",2020,3291391.78652611679824050,1903414739.715188146072961
"BRB",2020,22.1097087401573414,7748.772140468163588
"BRN",2020,1166.42756850767174588,665224.430157023215271
"BTN",2020,1288.37448758953059913,682621.6118517335619305
"BWA",2020,1.81525809188368081,439.780126673392370
"CAF",2020,55136.67811784418708868,28472928.463859264412374
"CAN",2020,1195271.755768864511209883,367517193.8620308983751550
"CHE",2020,3927.891163453767168342,2426415.578161991586811
"CHL",2020,70591.909662330976750928,34703729.8642953866794423
"CHN",2020,422214.352808975701252996,201592875.4014786883894950
